seed,gamma,low,high,time_scale,plant,severity,method,tracking,steering_rms,peak_rate,feasible,worst_family
21,1,10,30,1,legacy,strong,M4,0.04351794315457217,1.2098395360466558,3.4748421278164727,1.0,0.04557328230385996
21,1,10,30,1,vy,moderate,M1,0.0398872306319283,0.7984287941557768,2.287194266267221,1.0,0.04782634252745942
21,1,10,30,1,vy,moderate,M2,0.03532749255666124,0.7983505518602074,2.2955242457881564,1.0,0.03664890967565442
21,1,10,30,1,vy,moderate,M3,0.03208867382608877,0.7980976746905365,2.298504319367155,1.0,0.03757710309592468
21,1,10,30,1,vy,moderate,M4,0.02631598106366739,0.7980611400709005,2.3066538664316205,1.0,0.027661389964280858
21,1,10,30,1,vy,near_linear,M1,0.0193420433534324,0.39677052529015044,1.140541500847306,1.0,0.023094524463668744
21,1,10,30,1,vy,near_linear,M2,0.01718386864179367,0.39673378941073034,1.1447379813277407,1.0,0.017889026906672066
21,1,10,30,1,vy,near_linear,M3,0.015390650243283788,0.39662265684218034,1.1461778997854994,1.0,0.01796926532316878
21,1,10,30,1,vy,near_linear,M4,0.012594713375779979,0.3966047296124045,1.1502816175716384,1.0,0.01326116085530618
21,1,10,30,1,vy,strong,M1,0.06413868578179037,1.210358664400514,3.446734888483657,1.0,0.07746524749668345
21,1,10,30,1,vy,strong,M2,0.0567307969193615,1.2102397730544987,3.459185838067448,1.0,0.05847907859095631
21,1,10,30,1,vy,strong,M3,0.05260432115067705,1.2097646921812233,3.463848759228535,1.0,0.0620674050493027
21,1,10,30,1,vy,strong,M4,0.04362352864766131,1.2097197051265645,3.475949896317044,1.0,0.045688480024587586
21,1,10,30,2,beta_noacc,moderate,M1,0.016439313941248323,0.8012879217335552,1.1404259428374406,1.0,0.01961195918881397
21,1,10,30,2,beta_noacc,moderate,M2,0.01330917555940992,0.8012459500384442,1.141504916448599,1.0,0.01454281672832027
21,1,10,30,2,beta_noacc,moderate,M3,0.011507925667688592,0.8011609702929163,1.1413483591088356,1.0,0.012683037296577571
21,1,10,30,2,beta_noacc,moderate,M4,0.007188444804956273,0.8011337747034765,1.142271638989246,1.0,0.007643820454571347
21,1,10,30,2,beta_noacc,near_linear,M1,0.008057119524431647,0.3975059374729711,0.5679489352136711,1.0,0.00958213259261141
21,1,10,30,2,beta_noacc,near_linear,M2,0.006605680664138953,0.39748735550952496,0.5685276709474186,1.0,0.007233211079882453
21,1,10,30,2,beta_noacc,near_linear,M3,0.005542299497092068,0.3974514041891116,0.5684365031050551,1.0,0.006075574580733633
21,1,10,30,2,beta_noacc,near_linear,M4,0.0034492232854243256,0.39743911267208776,0.5689321780094327,1.0,0.0036718517117368564
21,1,10,30,2,beta_noacc,strong,M1,0.02587948242466946,1.2199428207588516,1.7484214816135042,1.0,0.031078466529772298
21,1,10,30,2,beta_noacc,strong,M2,0.020490526751025726,1.2198682128066023,1.7494680998889949,1.0,0.022255484815966547
21,1,10,30,2,beta_noacc,strong,M3,0.018745247045671463,1.2196850469307259,1.7550562597169177,1.0,0.020779794323563285
21,1,10,30,2,beta_noacc,strong,M4,0.011903702231710746,1.2196408339135443,1.75731949238373,1.0,0.012615871910682426
21,1,10,30,2,legacy,moderate,M1,0.016440689258946522,0.8012866104260529,1.1404429086314185,1.0,0.01961426900746155
21,1,10,30,2,legacy,moderate,M2,0.013309615888283563,0.8012446321085837,1.141519937766183,1.0,0.01454344005868973
21,1,10,30,2,legacy,moderate,M3,0.011508025792719673,0.8011594327443291,1.1413631468582517,1.0,0.012680384757914916
21,1,10,30,2,legacy,moderate,M4,0.0071874055531423635,0.8011322439688456,1.1422837027650097,1.0,0.007642450780107436
21,1,10,30,2,legacy,near_linear,M1,0.008057774424714063,0.39750533870327814,0.5679584606473449,1.0,0.0095832086371221
21,1,10,30,2,legacy,near_linear,M2,0.00660589713645794,0.3974867528791105,0.5685362555608918,1.0,0.00723352202087057
21,1,10,30,2,legacy,near_linear,M3,0.005542292098002983,0.3974506849714182,0.5684449575022067,1.0,0.006076324399954544
21,1,10,30,2,legacy,near_linear,M4,0.0034487013072060633,0.3974383960520676,0.5689398881393355,1.0,0.0036711685893463636
21,1,10,30,2,legacy,strong,M1,0.025881924805820165,1.2199404180713431,1.748535303511792,1.0,0.031082707119676443
21,1,10,30,2,legacy,strong,M2,0.020491381206287483,1.2198658088723566,1.7495870805260352,1.0,0.02225658883367907
21,1,10,30,2,legacy,strong,M3,0.018746019706757613,1.2196823568501405,1.7551736756068503,1.0,0.020776010527572143
21,1,10,30,2,legacy,strong,M4,0.011902431349444655,1.2196381649474866,1.757441932467955,1.0,0.01261408025172343
21,1,10,30,2,vy,moderate,M1,0.016448226344872467,0.8012715251622974,1.1405441707148731,1.0,0.019628358954110522
21,1,10,30,2,vy,moderate,M2,0.01330919782732518,0.8012296372142494,1.14162284658739,1.0,0.01454208903264775
21,1,10,30,2,vy,moderate,M3,0.011524028707220229,0.8011471848629892,1.1414655918083605,1.0,0.012704355589041132
