phase,point,policy,cohort,condition,mu,epsilon,method,tracking,std,q95,feasible_rate,rho,baseline,tracking_increase_pct,viable
A,map,balanced,20,correct,0.9,8,Isotropic,0.008634376217937967,0.0009652304760816857,0.01043311136988324,1.0,0.9697778454985306,0.007724380228297895,11.780828529211252,False
A,map,balanced,20,correct,0.9,inf,ControlAware,0.007724380228297889,0.00020844399691022283,0.00800012753012169,1.0,0.9688571601954,0.007724380228297889,0.0,False
A,map,balanced,20,correct,0.9,inf,Isotropic,0.007724380228297895,0.00020844399691021909,0.008000127530121696,1.0,0.9688571601954,0.007724380228297895,0.0,False
A,map,balanced,30,correct,0.9,2,ControlAware,0.010836344824608626,0.0020953506813931985,0.014452768036253847,1.0,0.9711353137347776,0.007728479875368463,40.21314669066136,False
A,map,balanced,30,correct,0.9,2,Isotropic,0.011894603858709467,0.0026882062890150496,0.016793012990680572,1.0,0.9715996951974076,0.007728479875368463,53.90612449699079,False
A,map,balanced,30,correct,0.9,4,ControlAware,0.008834420252484161,0.0009847578500481885,0.010831988212007681,1.0,0.9704851035672244,0.007728479875368463,14.309934100242083,False
A,map,balanced,30,correct,0.9,4,Isotropic,0.00927347035237979,0.0012988562936887718,0.011786194630763951,1.0,0.9708054157880596,0.007728479875368463,19.990871451129543,False
A,map,balanced,30,correct,0.9,8,ControlAware,0.008010193592813838,0.0005498159342126542,0.009262165256134517,1.0,0.9691071876529442,0.007728479875368463,3.6451374913096135,True
A,map,balanced,30,correct,0.9,8,Isotropic,0.008125656282235147,0.0006982514118409344,0.009722333726546725,1.0,0.9692016277699554,0.007728479875368463,5.139127141063393,True
A,map,balanced,30,correct,0.9,inf,ControlAware,0.007728479875368463,0.00016486589109197626,0.007942482962301888,1.0,0.968799865723032,0.007728479875368463,0.0,False
A,map,balanced,30,correct,0.9,inf,Isotropic,0.007728479875368463,0.00016486589109197344,0.007942482962301881,1.0,0.968799865723032,0.007728479875368463,0.0,False
A,map,balanced,50,correct,0.9,2,ControlAware,0.008812981360677494,0.001072357437305797,0.011042198161115057,1.0,0.9694999156955674,0.007708730879310746,14.324672876185307,False
A,map,balanced,50,correct,0.9,2,Isotropic,0.009265030679284969,0.0014342462655214576,0.01226587753440204,1.0,0.9697706632616344,0.007708730879310744,20.1887940354895,False
A,map,balanced,50,correct,0.9,4,ControlAware,0.008053205736559257,0.00038526137397642597,0.00865839424694673,1.0,0.9693253966415618,0.007708730879310746,4.468632549788931,True
A,map,balanced,50,correct,0.9,4,Isotropic,0.00818826248416858,0.0004814169645114353,0.009030938234260275,1.0,0.96942402182058,0.007708730879310744,6.220629729659377,True
A,map,balanced,50,correct,0.9,8,ControlAware,0.007837097292289631,0.0002792287419162608,0.00826786212046058,1.0,0.96915153085905,0.007708730879310746,1.665208125547668,True
A,map,balanced,50,correct,0.9,8,Isotropic,0.007895217228149199,0.00033308218969832016,0.008439124889165617,1.0,0.9692297459903976,0.007708730879310744,2.4191575988073533,True
A,map,balanced,50,correct,0.9,inf,ControlAware,0.007708730879310746,0.00019716495177980547,0.008038881000949504,1.0,0.9688456801361685,0.007708730879310746,0.0,False
